Date,Open,High,Low,Close,Volume
02/03/2025,5969.64990234375,6022.1298828125,5923.93017578125,5994.56982421875,4797210000
02/04/2025,5998.14013671875,6042.47998046875,5990.8701171875,6037.8798828125,4410160000
02/05/2025,6020.4501953125,6062.85986328125,6007.06005859375,6061.47998046875,4756250000
02/06/2025,6072.22021484375,6084.02978515625,6046.830078,6083.56982421875,4847120000
02/07/2025,6083.1298828125,6101.27978515625,6019.9599609375,6025.990234,4766900000
02/10/2025,6046.39990234375,6073.3798828125,6044.839844,6066.43994140625,4458760000
02/11/2025,6049.31982421875,6076.27978515625,6042.339844,6068.5,4324880000
02/12/2025,6025.080078,6063,6003,6051.97021484375,4627960000
02/13/2025,6060.589844,6116.910156,6050.9501953125,6115.06982421875,4763800000
02/14/2025,6115.52001953125,6127.47021484375,6107.6201171875,6114.6298828125,4335190000
02/18/2025,6121.60009765625,6129.6298828125,6099.509766,6129.580078,4684980000
02/19/2025,6117.759766,6147.43017578125,6111.14990234375,6144.14990234375,4562330000
02/20/2025,6134.5,6134.5,6084.589844,6117.52001953125,4813690000
02/21/2025,6114.10009765625,6114.81982421875,6008.56005859375,6013.1298828125,5434560000
02/24/2025,6026.68994140625,6043.64990234375,5977.830078,5983.25,4990120000
02/25/2025,5982.72998046875,5992.64990234375,5908.490234,5955.25,5374690000
02/26/2025,5970.8701171875,6009.81982421875,5932.68994140625,5956.06005859375,4869580000
02/27/2025,5981.8798828125,5993.68994140625,5858.77978515625,5861.56982421875,5057680000
02/28/2025,5856.740234,5959.39990234375,5837.660156,5954.5,6441140000
03/03/2025,5968.330078,5986.089844,5810.910156,5849.72021484375,5613850000
03/04/2025,5811.97998046875,5865.080078,5732.589844,5778.14990234375,6138110000
03/05/2025,5781.35986328125,5860.589844,5742.35009765625,5842.6298828125,5285970000
03/06/2025,5785.8701171875,5812.080078,5711.64013671875,5738.52001953125,5165080000
03/07/2025,5726.009766,5783.009766,5666.2900390625,5770.2001953125,5705140000
03/10/2025,5705.3701171875,5705.3701171875,5564.02001953125,5614.56005859375,6409370000
03/11/2025,5603.64990234375,5636.2998046875,5528.410156,5572.06982421875,6221240000
03/12/2025,5624.839844,5642.18994140625,5546.089844,5599.2998046875,5219830000
03/13/2025,5594.4501953125,5597.77978515625,5504.64990234375,5521.52001953125,5018980000
03/14/2025,5563.85009765625,5645.27001953125,5563.85009765625,5638.93994140625,4863180000
03/17/2025,5635.60009765625,5703.52001953125,5631.1201171875,5675.1201171875,5031770000
03/18/2025,5654.52978515625,5654.52978515625,5597.759766,5614.660156,4666270000
03/19/2025,5632.3701171875,5715.330078,5622.2001953125,5675.2900390625,4660090000
03/20/2025,5646.919922,5711.14990234375,5632.330078,5662.89013671875,4678420000
03/21/2025,5630.72998046875,5670.839844,5603.10009765625,5667.56005859375,9367460000
03/24/2025,5718.080078,5775.14013671875,5718.080078,5767.56982421875,4517990000
03/25/2025,5775.9599609375,5786.9501953125,5760.419922,5776.64990234375,4467340000
03/26/2025,5771.660156,5783.6201171875,5694.410156,5712.2001953125,4183140000
03/27/2025,5695.64013671875,5732.27978515625,5670.93994140625,5693.31005859375,4403460000
03/28/2025,5679.2001953125,5685.89013671875,5572.419922,5580.93994140625,4513330000
03/31/2025,5527.910156,5627.56005859375,5488.72998046875,5611.85009765625,5257250000
04/01/2025,5597.52978515625,5650.56982421875,5558.52001953125,5633.06982421875,4434500000
04/02/2025,5580.759766,5695.31005859375,5571.47998046875,5670.97021484375,4243830000
04/03/2025,5492.740234,5499.52978515625,5390.830078,5396.52001953125,7210470000
04/04/2025,5292.14013671875,5292.14013671875,5069.89990234375,5074.080078,8853500000
04/07/2025,4953.7900390625,5246.56982421875,4835.0400390625,5062.25,8691980000
04/08/2025,5193.56982421875,5267.47021484375,4910.419922,4982.77001953125,7408140000
04/09/2025,4965.27978515625,5481.339844,4948.43017578125,5456.89990234375,9489600000
04/10/2025,5353.14990234375,5353.14990234375,5115.27001953125,5268.0498046875,6677140000
04/11/2025,5255.56005859375,5381.4599609375,5220.77001953125,5363.35986328125,5602550000
04/14/2025,5441.9599609375,5459.4599609375,5358.02001953125,5405.97021484375,5031440000
04/15/2025,5411.990234,5450.410156,5386.43994140625,5396.6298828125,4317110000
04/16/2025,5335.75,5367.240234,5220.7900390625,5275.7001953125,4607750000
04/17/2025,5305.4501953125,5328.31005859375,5255.580078,5282.7001953125,4714880000
04/21/2025,5232.93994140625,5232.93994140625,5101.6298828125,5158.2001953125,4226340000
04/22/2025,5207.669922,5309.60986328125,5207.669922,5287.759766,4666950000
04/23/2025,5395.919922,5469.68994140625,5356.169922,5375.85986328125,5371390000
04/24/2025,5381.3798828125,5489.39990234375,5371.9599609375,5484.77001953125,4697710000
04/25/2025,5489.72998046875,5528.10986328125,5455.85986328125,5525.2099609375,4236580000
04/28/2025,5529.22021484375,5553.660156,5468.64013671875,5528.75,4257880000
04/29/2025,5508.8701171875,5571.9501953125,5505.7001953125,5560.830078,4747150000
04/30/2025,5499.43994140625,5581.839844,5433.240234,5569.06005859375,5449490000
05/01/2025,5625.14013671875,5658.910156,5597.35009765625,5604.14013671875,4935270000
05/02/2025,5645.8798828125,5700.7001953125,5642.27978515625,5686.669922,4854380000
05/05/2025,5655.31982421875,5683.3798828125,5634.47998046875,5650.3798828125,4358260000
05/06/2025,5605.8701171875,5649.580078,5586.0400390625,5606.910156,4717260000
05/07/2025,5614.18017578125,5654.72998046875,5578.64013671875,5631.27978515625,4987440000
05/08/2025,5663.60009765625,5720.10009765625,5635.3798828125,5663.93994140625,5627400000
