Date,Open,High,Low,Close
01/29/2026,96.16,96.66,96.02,96.28
01/28/2026,95.97,96.79,95.86,96.45
01/27/2026,97.05,97.29,95.55,96.22
01/26/2026,97.03,97.33,96.81,97.04
01/23/2026,98.33,98.48,97.43,97.6
01/22/2026,98.79,98.83,98.26,98.36
01/21/2026,98.61,98.87,98.38,98.76
01/20/2026,99.14,99.14,98.25,98.64
01/19/2026,99.37,99.48,99.16,99.39
01/16/2026,99.37,99.48,99.16,99.39
01/15/2026,99.13,99.49,99.09,99.32
01/14/2026,99.19,99.25,98.93,99.13
01/13/2026,98.9,99.23,98.85,99.13
01/12/2026,99.17,99.25,98.67,98.86
01/09/2026,98.91,99.26,98.9,99.13
01/08/2026,98.74,98.98,98.68,98.93
01/07/2026,98.58,98.75,98.5,98.68
01/06/2026,98.41,98.63,98.16,98.58
01/05/2026,98.48,98.86,98.25,98.27
01/02/2026,98.24,98.49,98.15,98.42
01/01/2026,98.25,98.5,98.18,98.32
12/31/2025,98.25,98.5,98.18,98.32
12/30/2025,98.01,98.27,97.94,98.24
12/29/2025,98.05,98.18,97.92,98.04
12/26/2025,97.92,98.13,97.86,98.02
12/25/2025,97.89,98.01,97.75,97.98
12/24/2025,97.89,98.01,97.75,97.95
12/23/2025,98.2,98.2,97.85,97.94
12/22/2025,98.67,98.73,98.2,98.29
12/19/2025,98.46,98.75,98.42,98.6
12/18/2025,98.38,98.56,98.17,98.43
12/17/2025,98.21,98.64,98.18,98.37
12/16/2025,98.27,98.32,97.87,98.15
12/15/2025,98.4,98.48,98.14,98.31
12/12/2025,98.32,98.53,98.3,98.4
12/11/2025,98.56,98.76,98.13,98.35
12/10/2025,99.22,99.26,98.59,98.79
12/09/2025,99.05,99.31,98.95,99.22
12/08/2025,98.97,99.23,98.79,99.09
12/05/2025,99.04,99.13,98.81,98.99
12/04/2025,98.92,99.08,98.77,98.99
12/03/2025,99.28,99.29,98.82,98.85
12/02/2025,99.45,99.57,99.32,99.36
12/01/2025,99.48,99.51,99.01,99.41
11/28/2025,99.57,99.82,99.38,99.46
11/27/2025,99.84,99.96,99.56,99.6
11/26/2025,99.84,99.96,99.56,99.6
11/25/2025,100.21,100.26,99.65,99.66
11/24/2025,100.2,100.3,100.01,100.14
11/21/2025,100.16,100.4,99.99,100.18
11/20/2025,100.17,100.36,100.03,100.16
11/19/2025,99.58,100.24,99.49,100.23
11/18/2025,99.56,99.66,99.4,99.55
11/17/2025,99.27,99.6,99.25,99.59
11/14/2025,99.26,99.4,98.99,99.3
11/13/2025,99.52,99.59,98.99,99.16
11/12/2025,99.46,99.71,99.42,99.5
11/11/2025,99.66,99.74,99.29,99.44
